ID,Img_URL,Img_position,Device Subtitle,Device Title,Key Feature_1,Key Feature_2,Key Feature_3,Key Feature_4,Key Feature_5,Key Feature_6,Key Feature_7,Product description,Device Type,Network Technology,LTE catagory support,Manufacture_Address,Manufacture_Phone,Manufacture_Email,Hardware_Antenna,Hardware_Battery,Hardware_Display Resolution,Hardware_Ethernet Posts,Hardware_Sim Type,Hardware_USB ports,Hardware_Voltage supply,Other_Accelerometer,Other_Z-Wave,Other_Audio,Other_Battery safety,Other_Bluetooth,Other_Camera,Other_Dual SIM,Other_E911,Other_eUICC,Other_GNSS,Other_GPSS,Other_GPS,Other_Keyboard,Other_Magnetic card reader,Other_Printer,Other_RJ-11,Other_Scanning tech,Other_Serial,Other_Smart card reader,Other_Voice transmission capable,Other_Wifi,Zigbee,FoTA For Baseband/Modem Software Update Capability,FoTA Client Type,Operating System,Soft_Developer Kit,Soft_Diagnostics,Soft_Security Level,Soft_EMS,Soft_MMS,Soft_Remote Management,Soft_SMS Capability,Soft_WEA,Soft_Persistent Prefix IPv6,Soft_Mobile Private Network,Soft_FWA,Soft_Split Data Routing,Soft_Multi-APN,Soft_Global Capable,Soft_Private Wireless Network,Chassis_Dimensions,Chassis_Weight,Chassis_Operating Temperature,Chassis_Storage Temperature,Chassis_Relative Humidity,Chassis_Rain & dust resistance,Chassis_Vehicle Mounting,Network_NAT,Network_Routing Protocols,Network_Security Protocol,Network_VPN Support,Network_Numbershare,Network_Fax capable,Network_Firewall,Network_UMTS,Network_LTE,Network_LTE Global/Roaming,Network_5G,Network_5G Global/Roaming,Network_GPRS,Network_GSM,Contact_Website,Contact_Address,Contact_Phone,Contact_Email,Industry,Gift_Card,Status,Published,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Included / United States,Included / International
19124,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/19124,,Schneider Electric,Centeron GR-VM Propane Monitor,Remote Level Monitoring,,,,,,,"A robust residential cellular propane tank monitor, adaptable to any style remote ready dial, providing proven, reliable tank level measurements.",Utility / Smart Grid,LTE Only,Cat M1,"1602 Mustang Drive Maryville, TN 37801",865 981 3091,DavidL.Kidd@schneider-electric.com,External,—,—,0,Standard/Industrial Mini SIM (2FF),1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Other,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,—,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,www.schneider-electric.com,"1602 Mustang Drive Maryville, TN 37801",(865) 981-3100,support.centeron@schneider-electric.com,"Agricultural, Construction, Distribution, Industrial / Manufacturing, Oil and Gas, Residential / Consumer, Transportation, Utilities",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
16523,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/16523,,ProSoft Technology,ELX1-LTE-A,Dual SIM,2 x DIO software configurable,Dual SIM,PoE 802.3af,GPS,,,"The ELX1 Industrial Cellular Gateway can be used for remote access to machine cells, SCADA connectivity to remote sites, or M2M communications. The user can monitor and troubleshoot devices from anywhere in the world over 4G LTE cellular connections. Email and SMS for alarm management is supported. The ELX1 is configured and managed through ProSoft Connect™ providing real-time monitoring of automation devices. OpenVPN connectivity to dual servers for redundancy is supported.",Router,LTE with GSM/UMTS,Cat 4,"9201 Camino Media, Suite 200 Bakersfield, CA 93311",1-661-716-5100,sales@prosoft-technology.com,—,None,None,4,SIM1 - Standard Nano SIM (4FF),SIM2 - Standard Nano SIM (4FF),,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,—,—,Verizon FoTA Solution (only),OMADM,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,Checked,—,—,—,—,—,—,—,—,5.5x2.1x4.5 in.,1.7 lbs,-40 °C to 70 °C,-40 °C to 70 °C,"IEC 60068-30 5% to 95%, with no condensation",—,—,Static,None,"OpenVPN client, IPSec client, IP Address Filtering","OpenVPN, IPSec client, ProSoft Connect Tunnel",N - no Numbershare,—,—,Checked,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,www.prosoft-technology.com,"9201 Camino Media, Suite 200 Bakersfield, CA 93311",1-661-716-5100,support@prosoft-technology.com,"Distribution, Industrial / Manufacturing, Oil and Gas, Pharmaceutical, Transportation, Utilities",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
17563,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/17563,,Peplink,MAX Adapter,1x LTE-A modem (Downlink/Uplink: CAT-7: 300 Mbps/150 Mbps),Redundant SIM slots,2x SMA cellular connectors,1x SMA GPS connector,,,,"The MAX adapter is a state-of-art cellular modem comes with sturdy industrial-strength, low-profile form factor, and providing reliable connectivity to users",Router,LTE with GSM/UMTS,Cat 7,sales@peplink.com,6504509668,sales@peplink.com,—,N/A,N/A,0,SIM1 - Standard Nano SIM (4FF),SIM2 - Standard Nano SIM (4FF),,—,—,—,—,—,—,Checked,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,3.9x2.8x0.6 in.,0.26 lbs,32 °F to 104 °F,32 °F to 104 °F,15% – 95% (non-condensing),—,—,"One-to-one, one-to-many","Static, Dynamic, OSPF, RIPv2, BGP",Yes,"PepVPN, IPSec, L2TP",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.peplink.com,support@peplink.com,6504509668,support@peplink.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18231,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18231,,Peplink,MAX BR1 ENT,Small form factor cellular router designed for enterprise failover purposes.,Can be used as a dedicated cellular router.,,,,,,"The MAX BR1 ENT delivers blazing 300Mbps router throughput with automatic failover to LTE and comes without Wi-Fi, making it an ideal choice for deployments that demand high performance, and outstanding reliability. Redundant SIM slots with automatic switching for reliable network.",Router,LTE with GSM/UMTS,Cat 7,sales@peplink.com,6504509668,sales@peplink.com,—,—,—,3,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,1.6x5.8x5.0 in.,0.96 lbs,-40° °F to 149 °F,-40 °F to 149 °F,15% – 95% (non-condensing),—,—,"One-to-one, one-to-many",Dynamic Routing,"Stateful Firewall, DoS Prevention, Web Blocking, 256-bit AES Encryption","PepVPN, IPSec, L2TP",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.peplink.com,support@peplink.com,6504509668,support@peplink.com,"Agricultural, Construction, Education, Healthcare, Industrial / Manufacturing, Media and Entertainment, Transportation, Utilities",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18526,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18526,,Peplink,MAX Transit Duo Core,2x embedded LTE-A Pro cellular modems (Downlink/Uplink: CAT-12: 600 Mbps/150 Mbps),High security as less attack surface,"Power port with GPIO and Ignition Sensing, Multiple power input",Remote Central Management with InControl 2,,,,The Transit Duo Core is an advance dual cellular router built to fulfill strict security compliances in transportation deployment. The Transit Duo Core does not have GPS and Wi-Fi function in order to minimize attack surface.,Router,LTE with GSM/UMTS,Cat 12,sales@peplink.com,650-450-9668,sales@peplink.com,—,NA,NA,4,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Linux,—,—,None,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,6.3x3.8x1.3 in.,1.3 lbs,-40 °F to 149 °F,-40 °F to 149 °F,15% – 95% (non-condensing),—,Checked,"One-to-one, one-to-many","Static, Dynamic, OSPF, RIPv2, BGP",Yes,"PepVPN, IPSec, L2TP",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.peplink.com,support@peplink.com,650-450-9668,support@peplink.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
17484,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/17484,,Peplink,MAX BR1 Pro LTEA,1x embedded LTE-A cellular modem (Downlink/Uplink: CAT-7: 300Mbps/150Mbps),Simultaneous dual-band Wi-Fi 6,Power port with GPIO and Ignition Sensing,Remote Central Management with InControl 2,,,,"The MAX BR1 Pro LTEA is an industrial-grade router equipped with LTE-A modem, Wi-Fi 6, low-profile form factor, and GPIO with Ignition sensing, making it an ideal choice for deployments that demand outstanding reliability and flexibility.",Router,LTE with GSM/UMTS,Cat 7,sales@peplink.com,6504509668,sales@peplink.com,—,NA,NA,3,SIM1 - Standard Nano SIM (4FF),SIM2 - Standard Nano SIM (4FF),,—,—,—,—,—,—,Checked,—,—,—,—,Checked,—,—,—,—,—,—,—,—,Checked,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,4.93x5.79x1.14 in.,1.28 lbs,-40° °F to 149 °F,-40 °F to 149 °F,10% – 85% (non-condensing),—,—,"One-to-one, one-to-many","Static, Dynamic, OSPF, RIPv2, BGP",Yes,"PepVPN, IPSec, L2TP",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.peplink.com,support@peplink.com,6504509668,support@peplink.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18754,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18754,,Digi International Inc.,IX20-W0M1,4G LTE Cat M1 - Cellular Router,WiFi,(2) RJ-45 - Ethernet,(1) RS-232 Serial,Status LEDs,,,"Digi IX20 is a full-featured cellular router that scales from general connectivity applications to industrial routing and security. Model: Digi® IX20-W0M1 Cellular - 4G LTE Cat M1 Transfer rate (max): 375 kbps down, 375 kbps up Base hardware: WiFi, (2) RJ-45 Ethernet, (1) RJ-45 RS-232 Remote management: Digi Remote Manager®",Router,LTE with GSM/UMTS,Cat M1,"Digi International 9350 Excelsior Blvd., Suite 700 Hopkins, MN 55343",877-912-3444 or 952-912-3444,Tommy.Shannon@digi.com,—,N/A,N/A,2,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Checked,—,—,Checked,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,None,—,—,Checked,Checked,—,Checked,Checked,—,—,—,—,—,6.38x4.21x1.38 in.,1.4 lbs,-20 °C to 70 °C,-40 °C to 85 °C,5% to 95% non-condensing,—,—,"IP pass-through; NAT, NAPT with IP port forwarding","IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging; Ethernet bonding; GRE; multicast routing; Routing protocols: RIP (v1, v2) OSPF, IPv6 RIP-NG, OSPFv3, BGP; IP failover: VRRP; automatic failover; Digi SureLink®","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; Authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; Cryptology: SHA-1/256/384/512, MD5, RSA; Encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,—,"Band4 (1700 MHz), Band13 (700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band12 (700 MHz)","1800 MHz, 1900 MHz, 850 MHz, 900 MHz",,,,www.digi.com,"Digi International 9350 Excelsior Blvd., Suite 700 Hopkins, MN 55343",877-912-3444 or 952-912-3444,tech.support@digi.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18752,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18752,,Digi International Inc.,IX20-00M1,4G LTE Cat M1 - Cellular Router,(2) RJ-45 - Ethernet,(1) RS-232 Serial,Status LEDs,,,,"Digi IX20 is a full-featured cellular router that scales from general connectivity applications to industrial routing and security. Model: Digi® IX20-00M1 Cellular - 4G LTE Cat M1 Transfer rate (max): 375 kbps down, 375 kbps up Base hardware: (2) RJ-45 Ethernet, (1) RJ-45 RS-232 Remote management: Digi Remote Manager®",Router,LTE with GSM/UMTS,Cat M1,"Digi International 9350 Excelsior Blvd., Suite 700 Hopkins, MN 55343",1-877-912-3444,sales.inquiries@digi.com,—,N/A,N/A,2,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,None,—,—,Checked,Checked,—,—,Checked,—,—,—,—,—,6.38x4.21x1.38 in.,1.4 lbs,-40 °C to 70 °C,-40 °C to 85 °C,5% to 95% non-condensing,—,—,"IP pass-through; NAT, NAPT with IP port forwarding","IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging; Ethernet bonding; GRE; multicast routing; Routing protocols: RIP (v1, v2) OSPF, IPv6 RIP-NG, OSPFv3, BGP; IP failover: VRRP; automatic failover; Digi SureLink®","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; Authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; Cryptology: SHA-1/256/384/512, MD5, RSA; Encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,—,"Band4 (1700 MHz), Band13 (700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band12 (700 MHz)","1800 MHz, 1900 MHz, 850 MHz, 900 MHz",,,,www.digi.com,"Digi International 9350 Excelsior Blvd., Suite 700 Hopkins, MN 55343",877-912-3444 or 952-912-3444,tech.support@digi.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18177,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18177,,Digi International Inc.,IX20-W007,4G LTE Cat-7 - Cellular Router,WiFi,(2) RJ-45 - Ethernet,(1) RS-232 Seria,Status LEDs,,,"Digi IX20 is a full-featured cellular router that scales from general connectivity applications to industrial routing and security. Model: Digi® IX20-W007 Cellular - 4G LTE Cat 7 Transfer rate (max): 300 Mbps down, 100 Mbps up Base hardware: WiFi, (2) RJ-45 Ethernet, (1) RJ-45 RS-232 Remote management: Digi Remote Manager®",Router,LTE Only,Cat 7,"9350 Excelsior Blvd, Suite 700, Hopkins, MN 55343",1-877-912-3444,sales.inquiries@digi.com,—,N/A,N/A,2,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,Checked,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,Checked,Checked,—,—,—,6.38x4.21x1.38 in.,1.4 lbs,-20 °C to 70 °C,-40 °C to 85 °C,5% to 95% non-condensing,—,—,"NAT Traversal, passthrough mode","IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging; Ethernet bonding; GRE; multicast routing; Routing protocols: RIP (v1, v2) OSPF, IPv6 RIP-NG, OSPFv3, BGP; IP failover: VRRP; automatic failover; Digi SureLink®","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; Authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; Cryptology: SHA-1/256/384/512, MD5, RSA; Encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.digi.com,"9350 Excelsior Blvd, Suite 700, Minneapolis, MN",952-912-3444,tech.support@digi.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18176,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18176,,Digi International Inc.,IX20-0007,4G LTE Cat-7 - Cellular Router,(2) RJ-45 - Ethernet ,(1) RS-232 Serial,Status LEDs,,,,"Digi IX20 is a full-featured cellular router that scales from general connectivity applications to industrial routing and security. Model: Digi® IX20-0007 Cellular - 4G LTE Cat 7 Transfer rate (max): 300 Mbps down, 100 Mbps up Base hardware: (2) RJ-45 Ethernet, (1) RJ-45 RS-232 Remote management: Digi Remote Manager®",Router,LTE Only,Cat 7,"9350 Excelsior Blvd, Suite 700, Minneapolis, MN",952-912-3444,sales.inquiries@digi.com,—,N/A,N/A,2,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,Checked,Checked,—,—,—,6.38x4.21x1.38 in.,1.4 lbs,-40 °C to 70 °C,-40 °C to 85 °C,5% to 95% non-condensing,—,—,"NAT Traversal, passthrough mode","IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging; Ethernet bonding; GRE; multicast routing; Routing protocols: RIP (v1, v2) OSPF, IPv6 RIP-NG, OSPFv3, BGP; IP failover: VRRP; automatic failover; Digi SureLink®","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; Authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; Cryptology: SHA-1/256/384/512, MD5, RSA; Encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.digi.com,"9350 Excelsior Blvd, Suite 700, Minneapolis, MN",952-912-3444,tech.support@digi.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18175,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18175,,Digi International Inc.,EX15-WX07,4G LTE Cat-7 - Cellular Router / Extender,WiFi,(2) RJ-45 - Ethernet,(1) RS-45 - Serial,Status LEDs,,,"Digi EX15 LTE cellular routers/extenders offer gigabit Ethernet for retailers and other organizations that cannot tolerate network downtime and the negative impact on revenue streams and brand reputation. Model: Digi® EX15 Cellular - 4G LTE Cat 7 Transfer rate (max): 300 Mbps down, 100 Mbps up Base hardware: WiFi, (2) RJ-45 Ethernet, (1) RJ-45 Serial Remote management: Digi Remote Manager®",Router,LTE Only,Cat 7,"9350 Excelsior Blvd, Suite 700, Minneapolis, MN",952-912-3444,sales.inquiries@digi.com,—,N/A,N/A,2,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,Checked,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,Checked,Checked,—,—,—,5.6x5.0x1.2 in.,7.0 oz,-0 °C to 40 °C,-40 °C to 85 °C,5% to 95% non-condensing,—,—,"NAT Traversal, passthrough mode","IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging; Ethernet bonding; GRE; multicast routing; Routing protocols: RIP (v1, v2) OSPF, IPv6 RIP-NG, OSPFv3, BGP; IP failover: VRRP; automatic failover; Digi SureLink®","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; Authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; Cryptology: SHA-1/256/384/512, MD5, RSA; Encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.digi.com,"9350 Excelsior Blvd, Suite 700, Minneapolis, MN",952-912-3444,tech.support@digi.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18173,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18173,,Digi International Inc.,EX15-XX07,4G LTE Cat-7 - Cellular Router / Extender,(2) RJ-45 - Ethernet,(1) RS-45 - Serial,Status LEDs,,,,"Digi EX15 LTE cellular routers/extenders offer gigabit Ethernet for retailers and other organizations that cannot tolerate network downtime and the negative impact on revenue streams and brand reputation. Model: Digi® EX15 Cellular - 4G LTE Cat 7 Transfer rate (max): 300 Mbps down, 100 Mbps up Base hardware: (2) RJ-45 Ethernet, (1) RJ-45 Serial Remote management: Digi Remote Manager®",Router,LTE Only,Cat 7,"9350 Excelsior Blvd, Suite 700, Minneapolis, MN",952-912-3444,sales.inquiries@digi.com,—,N/A,N/A,2,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,Checked,Checked,—,—,—,5.6x5.0x1.2 in.,7.0 oz,0 °C to 40 °C,-40 °C to 85 °C,5% to 95% non-condensing,—,—,"NAT Traversal, passthrough mode","IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging; Ethernet bonding; GRE; multicast routing; Routing protocols: RIP (v1, v2) OSPF, IPv6 RIP-NG, OSPFv3, BGP; IP failover: VRRP; automatic failover; Digi SureLink®","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; Authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; Cryptology: SHA-1/256/384/512, MD5, RSA; Encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.digi.com,"9350 Excelsior Blvd, Suite 700, Minneapolis, MN",952-912-3444,tech.support@digi.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
18172,https://odi-device.verizonwireless.com/odi/showcase/api/images/get/18172,,Digi International Inc.,EX15-WC18,4G LTE Cat-18 - Cellular Router / Extender,WiFi,(2) RJ-45 - Ethernet,(1) RS-45 - Serial,Status LEDs,,,"Digi EX15 LTE cellular routers/extenders offer gigabit Ethernet for retailers and other organizations that cannot tolerate network downtime and the negative impact on revenue streams and brand reputation. Model: Digi® EX15 Cellular - 4G LTE Cat 18 Transfer rate (max): 1.2 Gbps down, 150 Mbps up Base hardware: WiFi, (2) RJ-45 Ethernet, (1) RJ-45 Serial Remote management: Digi Remote Manager®",Router,LTE with GSM/UMTS,Cat 18,"Digi International 9350 Excelsior Blvd., Suite 700 Hopkins, MN 55343",877-912-3444 or 952-912-3444,Tommy.Shannon@digi.com,—,N/A,N/A,2,SIM1 - Standard/Industrial Mini SIM (2FF),SIM2 - Standard/Industrial Mini SIM (2FF),,—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Checked,—,—,Checked,—,Verizon FoTA Solution (only),OMADM,Linux,—,—,None,—,—,Checked,Checked,—,Checked,Checked,Checked,Checked,—,—,—,5.6x5.0x1.2 in.,7.0 oz,0 °C to 40 °C,-40 °C to 85 °C,5% to 95% (non-condensing),—,—,"NAT Traversal, passthrough mode","IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging; Ethernet bonding; GRE; multicast routing; Routing protocols: RIP (v1, v2) OSPF, IPv6 RIP-NG, OSPFv3, BGP; IP failover: VRRP; automatic failover; Digi SureLink®","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; Authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; Cryptology: SHA-1/256/384/512, MD5, RSA; Encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,—,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)",,,,,,www.digi.com,"Digi International 9350 Excelsior Blvd., Suite 700 Hopkins, MN 55343",877-912-3444 or 952-912-3444,tech.support@digi.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare",FALSE,active,TRUE,continue,td-synnex,TRUE,TRUE,TRUE,TRUE
