Product ID,Device Subtitle,Device Title,Key Feature_1,Key Feature_2,Key Feature_3,Key Feature_4,Key Feature_5,Key Feature_6,Key Feature_7,Product description,Device Type,Network Technology,LTE catagory support,Contact_Address,Contact_Phone,Contact_Email,Hardware_Antenna,Hardware_Battery,Hardware_Display Resolution,Hardware_Ethernet Posts,Hardware_Sim Type,Hardware_USB ports,Hardware_Voltage supply,Other_Accelerometer,Other_Z-Wave,Other_Audio,Other_Battery safety,Other_Bluetooth,Other_Camera,Other_Dual SIM,Other_E911,Other_eUICC,Other_GNSS,Other_GPSS,Other_GPS,Other_Keyboard,Other_Magnetic card reader,Other_Printer,Other_RJ-11,Other_Scanning tech,Other_Serial,Other_Smart card reader,Other_Voice transmission capable,Other_Wifi,Other_Zigbee,FoTA For Baseband/Modem Software Update Capability,FoTA Client Type,Operating System,Soft_Developer Kit,Soft_Diagnostics,Soft_Security Level,Soft_EMS,Soft_MMS,Soft_Remote Management,Soft_SMS Capability,Soft_WEA,Soft_Persistent Prefix IPv6,Soft_Mobile Private Network,Soft_FWA,Soft_Split Data Routing,Soft_Multi-APN,Soft_Global Capable,Soft_Private Wireless Network,Chassis_Dimensions,Chassis_Weight,Chassis_Operating Temperature,Chassis_Storage Temperature,Chassis_Relative Humidity,Chassis_Rain & dust resistance,Chassis_Vehicle Mounting,Network_NAT,Network_Routing Protocols,Network_Security Protocol,Network_VPN Support,Network_Numbershare,Network_Fax capable,Network_Firewall,Network_UMTS,Network_LTE,Network_LTE Global/Roaming,Network_5G,Network_5G Global/Roaming,Network_GPRS,Network_GSM,Contact_Website,Contact_Address,Contact_Phone,Contact_Email,Industry
26426,K4Mobility Inc,Ascent Modem,"IoT Modem, USB-C, 4x4 MIMO",,,,,,,5G Modem with USB-C,Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19,Rishi Potdar,1-800-453-1324,sales@k4mobility.com,—,None,None,0,SIM1 - Standard Nano SIM (4FF),1,+5 USB / +12VDC,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Windows,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,Checked,—,—,—,"LTE Licensed,LTE CBRS,5G Licensed",4.5x2.75x1.1 in.,0.45 lbs,-10 °C to 70 °C,-20 °C to 80 °C,95%,—,—,—,—,—,—,N - no Numbershare,—,—,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band8 (900 MHz), Band12 (700 MHz), Band14 (700 MHz), Band17 (700 MHz), Band18 (850 MHz), Band20 (800 MHz), Band25 (1900 MHz), Band26 (850 MHz), Band28 (700 MHz), Band40 (2300 MHz), Band41 (2500 MHz), Band46 (5200 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77, SA FR1 (Sub6) n2, SA FR1 (Sub6) n5, SA FR1 (Sub6) n48, SA FR1 (Sub6) n66, SA FR1 (Sub6) n77","NSA FR1 Roaming n66, NSA FR1 Roaming n77, NSA FR1 Roaming n78",,,k4mobility.com,1200 N Arlington Heights Rd Ste 430,1-800-453-1324,support@k4mobility.com,"Agricultural, Construction, Distribution, Education, Financial Services, Government, Healthcare, Hospitality"
27212,Digi International Inc.,TX54-A156 (child),Rugged Transportation / Public Safety / Smart City Router,Dual 5G Cellular,Wi-Fi and GNSS/GPS Support,4 x RJ45 Ethernet w/USB Support,,,,"5G rugged and secure cellular router for mission critical industrial, primary responder, public safety, and transportation applications.",Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20,"9350 Excelsior Blvd, Suite 700, Hopkins, MN 55343, USA",1-877-912-3444,sales.inquiries@digi.com,—,N/A,N/A,4,SIM1 - Standard/Industrial Mini SIM (2FF),1,"9 - 36 VDC, 30 W minimum power source required; ignition sense; 13 W typical (idle); 20 W typical (peak Tx/Rx)",—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,Checked,—,Non Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,Checked,Checked,—,Checked,—,xx,3.3 lbs,-34 °C to +74 °C,-40 °C to 85 °C,5% to 95% (non-condensing),—,—,"IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging;","GRE; multicast routing; routing protocols: RIP (v1, v2) OSPF, BGP; IP failover: VRRP;","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; SSL, SSLv2, SSLv3; authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; cryptology: SHA-1/256/384/512, MD5, RSA; encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77",NSA FR1 Roaming n78,,,www.digi.com,"9350 Excelsior Blvd, Suite 700, Hopkins, MN 55343, USA",1-952-912-3444,tech.support@digi.com,"Construction, Government, Industrial / Manufacturing, Oil and Gas, Professional Services, Public Safety, Transportation, Utilities"
24036,ATrack Technology Inc.,AS500,Asset tracking,Bluetooth Enabled,IP69K,Tamper and door open detection,LTE-M & NB-IoT connectivity,,,"The AS500 Long Standby Asset Tracker features up to 10-year battery life and ruggedized enclosure. It is ideal for monitoring unpowered asset such as containers, generators, trailers, and more. AS500 not only supports outdoor GPS, but also provides both Wi-Fi positioning and Bluetooth beacon, which enables to track mobile asset indoors .",Asset Tracking,LTE Only,Cat M1,"8F, No. 13, Lane 120, Sec. 1, Neihu Road, Neihu Dist., Taipei City 11493, Taiwan",+886-2-27975852 ext. 286,smd@atrack.com.tw,—,—,No Display,0,Standard Nano SIM (4FF),0,4-12V DC,Checked,—,—,—,Checked,—,—,—,—,—,Checked,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,RTOS,—,—,None,—,—,—,Checked,—,—,Checked,—,—,—,—,—,4.64x2.55x1.10 in.,0.26 lbs,-40 °C to 80 °C,—,95%RH @ 50°C non-condensing,Checked,—,—,—,—,—,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,,"8F, No. 13, Lane 120, Sec. 1, Neihu Road, Neihu Dist., Taipei City 11493, Taiwan",+886-2-27975852 ext. 251,tsd@atrack.com.tw,Transportation
26342,DataRemote Inc,90X1,Network Failover - WAN to Cellular (Dual SIM),"Alarm, FAX, Modem M2M Communication for POTS Replacement",5G/LTE Fixed Wireless Terminal,,,,,"The 90X1 Cellular/PSTN/MFVN capable communications and Internet backup solution enables multiple combinations of internet failover, battery backup, legacy analog wireline in-band Voice, Machine to Machine (M2M) Data, DTMF signaling tones, analog data modem tones, FAX and Alarm system signals (all previously connected to the Public Switched Telephone Network [PSTN]), to be carried over flexible combinations of WAN/LAN/Cellular Data Networks.",Router,LTE with GSM/UMTS and 5G NR NSA,Cat 19,"18001 Old Cutler Rd, Ste 600, Palmetto Bay, FL 32571",3522517400,sales@dataremote.com,—,—,—,3,SIM1 - Standard/Industrial Mini SIM (2FF),1,—,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,Checked,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,Checked,—,—,Checked,Checked,—,—,—,"LTE Licensed,LTE CBRS,5G Licensed",—,—,—,—,—,—,—,—,—,—,—,N - no Numbershare,—,—,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band8 (900 MHz), Band12 (700 MHz), Band14 (700 MHz), Band17 (700 MHz), Band18 (850 MHz), Band20 (800 MHz), Band25 (1900 MHz), Band26 (850 MHz), Band28 (700 MHz), Band40 (2300 MHz), Band41 (2500 MHz), Band46 (5200 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77",,,,dataremote.com,"18001 Old Cutler Rd, Suite 600, Palmetto Bay, FL 32571",3522517400,support@dataremote.com,"Healthcare, Industrial / Manufacturing, Oil and Gas, Professional Services, Real Estate, Retail, Utilities"
27214,Digi International Inc.,TX54-A152 (child),Rugged Transportation / Public Safety / Smart City Router,Dual 5G Cellular,Wi-Fi and GNSS/GPS Support,4 x RJ45 Ethernet w/USB Support,,,,"5G rugged and secure cellular router for mission critical industrial, primary responder, public safety, and transportation applications.",Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20,"9350 Excelsior Blvd, Suite 700, Hopkins, MN 55343, USA",1-877-912-3444,sales.inquiries@digi.com,—,N/A,N/A,4,SIM1 - Standard/Industrial Mini SIM (2FF),1,"9 - 36 VDC, 30 W minimum power source required; ignition sense; 13 W typical (idle); 20 W typical (peak Tx/Rx)",—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,Checked,—,Non Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,Checked,Checked,Checked,Checked,—,Checked,—,xx,3.3 lbs,-34 °C to +74 °C,-40 °C to 85 °C,5% to 95% (non-condensing),—,—,"IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging;","GRE; multicast routing; routing protocols: RIP (v1, v2) OSPF, BGP; IP failover: VRRP;","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; SSL, SSLv2, SSLv3; authentication: RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; cryptology: SHA-1/256/384/512, MD5, RSA; encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: DH groups 1-32 (CURVE448)",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77",NSA FR1 Roaming n78,,,www.digi.com,"9350 Excelsior Blvd, Suite 700, Hopkins, MN 55343, USA",1-952-912-3444,tech.support@digi.com,"Construction, Government, Industrial / Manufacturing, Oil and Gas, Professional Services, Public Safety, Transportation, Utilities"
21000,Global Telecom Engineering Inc,TITAN 3000,Supports all 4G frequency bands,Advanced routing and firewall software for security,"One Gigabit LAN/WAN port, three fast ports",802.11b/g/n/ac and 802.11ac multiband Wi-Fi,"Includes OMA-DM, TR069, and FOTA via FTP and HTTPS for easy end-to-end local management",,,Global Telecom’s TITAN 3000 (Model number GLC-T-3000) is an advanced LTE-A CAT12 Indoor CPE/Gateway product designed to enable quick and easy 4G service deployment for residential and SOHO customers. The TITAN 3000 is an all-in-one solution that can deliver up to 600 Mbps data throughput with speed and performance comparable to wired broadband service.,Router,LTE with GSM/UMTS,Cat 12,sales@glob-tel.com,email only,sgorman@glob-tel.com,—,External Power Supply,N/A,4,Standard/Industrial Mini SIM (2FF),1,12V @ 1.5 A DC Adapter,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,Checked,—,Verizon FoTA Solution (only),OMADM,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,5.31x3.54x7.08 in.,1.65 lbs,-15 °C to 60 °C,-30 °C to 85 °C,90% max (non-condensing),—,—,—,—,—,"VPN pass through (PPTP, L2TP, and IP Sec); Built-In L2TP & GRE tunneling support",N - no Numbershare,—,—,—,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,glob-tel.com,support@glob-tel.com,email only,support@glob-tel.com,"Construction, Distribution, Education, Financial Services, Government, Healthcare, Hospitality, Industrial / Manufacturing"
26910,Advantech,ICR-2041,For Industrial IoT and consumer focused high speed data applications,"Stand alone, DIN rail or wall mounting",Enhanced memory to host custom software applications and a wide variety of protocols,"Ethernet, 1x Digital I/O",,,,"Industrial cellular router ICR-2041 is designed for wireless communication to enable connection of IP or serial devices to a cellular network. Industrial M2M and IoT applications include kiosks, industrial PCs, HMIs, traffic controllers, meters, UPS systems, and much more. The peak downlink data rate for LTE Cat.4 is approximately 150 Mbps. Also in the uplink, LTE Cat.4 provides a peak data rate of 50 Mbps.",Router,LTE with GSM/UMTS,Cat 4,"Andrew Lund, 2077 Cohansey Blvd, Roseville, MN 55113",(612)247-1127,andrew.lund@advantech.com,—,CR2032X,n/a,1,Standard/Industrial Micro SIM (3FF),0,9 V - 48 V DC,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),OMADM,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,Checked,—,—,—,LTE Licensed,4.44x4.52x0.98 in.,0.761 lbs,-40 °F to 167 °F,-40 °C to 75 °F,95%,—,—,yes,"RIP, OSPF, BGP, Static routes","HTTPS, SSH, SFTP","OpenVPN, IPSec with IKEv1 and IKEv2, EasyVPN, GRE, L2TP, PPTP, P2P",N - no Numbershare,—,Checked,—,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,Advantech,"Michelle Holdiman, 707 E Dayton Rd ,Ottawa, IL 61350",(815)434-8762,Michelle.Holdiman@advantech.com,"Agricultural, Distribution, Financial Services, Healthcare, Hospitality, Industrial / Manufacturing, Oil and Gas, Transportation"
27173,Hudl,Focus Flex,Autonomous portable camera system,,,,,,,"Portable, battery powered, weatherproof camera system for automatic recording of sports games.",Camera,LTE Only,Cat 4,"600 P St, Suite 400, Lincoln, NE, 68508",402-817-0063,sales@hudl.com,—,99.9Wh,—,1,Standard Nano SIM (4FF),1,USB-C PD (>65Watt),—,—,Checked,Checked,Checked,Checked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,—,—,—,—,—,25x20x9 in.,81.6 oz,—,—,—,—,—,—,—,—,—,N - no Numbershare,—,—,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band40 (2300 MHz)","1800 MHz, 1900 MHz, 850 MHz, 900 MHz","1800 MHz, 1900 MHz, 850 MHz, 900 MHz",,,www.hudl.com,"600 P St, Suite 400, Lincoln, NE, 68508",402-817-0063,support@hudl.com,Education
25233,STW Technic LP,TCG4 Lite,Mobile Machine IoT Device,,,,,,,"TCG-4 Lite: Telematics device for mobile machinery The TCG-4 Lite offers best-in-class mobile machine connectivity at a scaled-down price point. In addition to 4G LTE technology, the TCG-4 Lite has an integrated receiver for global navigation satellite systems (GNSS), delivering pin point location accuracy.",Vehicle Monitoring,LTE with GSM/UMTS,Cat 1,"STW Technic, 1750 Corporate Drive, Ste 750, Norcross, GA 30093",770-242-1002,john.sibiski@stw-technic.com,—,—,—,—,Standard/Industrial Mini SIM (2FF),—,—,—,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,,"STW Technic, 1750 Corporate Drive, STE 750, Norcross, GA 30093",770-242-1002,andres.rojas@stw-technic.com,"Agricultural, Construction, Industrial / Manufacturing, Oil and Gas, Public Safety, Transportation, Utilities"
26802,Digi International Inc.,IX40-05,Dual Ethernet Single WiFi to Cellular Router,,,,,,,"Digi IX40 is an intelligent LTE router designed for optimal performance and reliability across a wide range of critical infrastructure and industrial applications. This powerful edge computing solution is fully integrated with software and security, providing a secure, reliable connection to industrial controllers, process automation equipment and smart grid assets on third party sites or remote locations.",Router,LTE with 5G NR NSA,Cat 19,"9350 Excelsior Blvd. Suite 700, Hopkins, MN 55343",8779123444,sales.inquiries@digi.com,—,N/A,N/A,4,SIM1 - Not Applicable,0,9 – 30 VDC,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,Checked,Checked,—,—,—,234x154x41,2.51 lbs,-30 °C to 70 °C,-45 °C to 85 °C,0% to 95% (non-condensing) at 25° C,—,—,"NAT, NAPT with IP port forwarding","IP pass-through; NAT, NAPT with IP port forwarding; Ethernet bridging; Ethernet bonding; GRE; multicast routing; routing protocols: RIP (v1, v2) OSPF, BGP; IP failover: VRRP; automatic failover; Digi SureLink®","IP filtering, stateful firewall, custom firewall rules (iptables), address and port translation; User Authentication: 2-factor authentication, RADIUS, TACACS+; certificates; MAC address filtering; VLAN support","IPSec with IKEv1, IKEv2, NAT Traversal; OpenVPN client and server; GRE VPN tunnels; cryptology: SHA-1/256/384/512, MD5, RSA; encryption: 3DES and AES up to 256-bit (CBC mode for IPsec); Diffie Hellman: groups 1-32",N - no Numbershare,—,Checked,—,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77, SA FR1 (Sub6) n2, SA FR1 (Sub6) n5, SA FR1 (Sub6) n48, SA FR1 (Sub6) n66, SA FR1 (Sub6) n77","NSA FR1 Roaming n66, NSA FR1 Roaming n77, NSA FR1 Roaming n78",,,www.digi.com,"9350 Excelsior Blvd. Suite 700, Hopkins, MN 55343",9529123444,tech.support@digi.com,"Construction, Industrial / Manufacturing, Public Safety"
27239,Social Mobile,RHINO T80,"8"" HD touchscreen. Secured and managed with Android Enterprise.",Global device certified for most countries.,POGO pins for easy docking and fast charging.,Made for high-volume deployment across all industries.,"Ruggedized cases, mounts, and other accessories available",,,"The RHINO T80 is an 8"" Android tablet designed for enterprise, with global LTE, eSIM capable, and POGO pins for easy docking and charging. The ideal tablet for any use case in the office or on-the-go. Secured and managed with Android Enterprise. Google Play Protect certified. 3 year-guaranteed product availability.",Tablet,LTE Only,Cat 13,"2057 Coolidge Street, Hollywood, FL, 33020",+1 (321) 303-4548,sales@socialmobile.com,—,5000mAh,800*1280,0,Standard Nano SIM (4FF),1,18W,—,—,—,Checked,Checked,Checked,—,—,—,—,Checked,Checked,—,—,—,—,—,—,—,—,Checked,—,Non Verizon FoTA Solution (only),—,Android,Checked,—,—,—,—,Checked,Checked,—,—,Checked,—,—,—,—,—,8.10x5.03x0.3976378 in.,0.9 lbs,32 °F to 104 °F,-22 °F to 158 °F,—,—,—,—,—,—,—,N - no Numbershare,—,—,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band17 (700 MHz), Band18 (850 MHz), Band20 (800 MHz), Band25 (1900 MHz), Band26 (850 MHz), Band28 (700 MHz), Band41 (2500 MHz)",,,,,www.socialmobile.com,"2057 Coolidge Street, Hollywood, FL, 33020",518-956-2472,saqib.ghouri@socialmobile.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare"
27946,"GETAC, Inc.",K120,2-in-1 design,"12.5"" IPS Display","1,200 NITS",Dedicated GPS,MIL-STD 810G and IP65 certifed,,,"K120 is a fully rugged tablet featuring the latest 8th generation Intel CPU. It is MIL-STD 810G certified with IP65 rating which allows the user to operate at mission critical environment without compromise. 2-in-1 solution with a 12"" display. Utilizing the latest CAT 12 release of radio technology for maximum upload and download speeds, the K120 with EM7511 will outperform any previous model releases using older technology.",Tablet,LTE with GSM/UMTS,Cat 12,Randy Pfeifer,949-681-2919,Randy.Pfeifer@Getac.com,—,"(11.1V, 2100mAh) x 2",1920 x 1080 1200 nits,1,SIM1 - Standard/Industrial Micro SIM (3FF),3,"65W, 100-240VAC, 50 / 60Hz",—,—,—,Checked,Checked,Checked,Checked,—,Checked,Checked,Checked,Checked,Checked,Checked,—,—,—,Checked,Checked,—,Checked,—,Verizon FoTA Solution (only),—,Windows,—,—,"Security Level 2,(Verizon Response Verified Devices. Comprehensive security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,xx,3.96 lbs,-20 °F to 145 °F,-60 °F to 160 °F,95%,Checked,Checked,—,—,—,—,N - no Numbershare,—,—,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz)",,,,,www.getac.com,"15495 Sand Canyon Ave., Suite 350, Irvine, CA 92618",949-681-2900,GetacSales_US@getac.com,"Industrial / Manufacturing, Oil and Gas, Professional Services, Public Safety, Transportation, Utilities"
27944,"GETAC, Inc.",S410,14” HD widescreen (1366 x 768) TFT LCD,Intel® Core™ i7-8650U vPro 1.9GHz,"MIL-STD 810G certifed (vibration,temperature, shock, altitude and humidity)",NVIDIA® GeForce® GTX 1050 4GB,"MIL-STD 810G certifed (vibration,temperature, shock, altitude and humidity)",,,"The 2nd generation Getac S410 Notebook delivers landmark performance, security, customization and durability unseen in a semi-rugged laptop this thin. Experience the fast 8th generation Intel® Core™ i7 processor, airtight security tools with multi-factor authentication and customization features to fit any workflow – all engineered into a thinner, more durable design.",Laptop,LTE with GSM/UMTS,Cat 12,"15495 Sand Canyon Rd., Suite 350 Irvine, CA 92618 USA",949-681-2900,GetacSales_US@getac.com,—,"65W, 100-240VAC, 50/60Hz",1366 x 768,1,Standard/Industrial Mini SIM (2FF),3,"11.1V, 4200mAh",—,—,—,—,Checked,Checked,—,—,—,Checked,—,Checked,Checked,Checked,—,—,Checked,—,Checked,—,Checked,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Windows,—,—,"Security Level 2,(Verizon Response Verified Devices. Comprehensive security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,13.8x11.5x1.4 in.,4.9 lbs,-5.8°F to 140° °F,-60°F to 160° °F,"95% RH , non-condensing",Checked,Checked,—,—,—,—,N - no Numbershare,—,—,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz)",,,,,,"15495 Sand Canyon Rd., Suite 350 Irvine, CA 92618 USA",866-394-3822,GetacSupport_US@getac.com,"Financial Services, Insurance, Pharmaceutical, Professional Services, Public Safety"
27943 ,"GETAC, Inc.",UX10,"10.1"" IPS TFT LCD FHD (1920 x 1200)",Intel® Core™ i7 vPro™ Technology,,,,,,"A brilliant sunlight readable 10"" Fully rugged tablet with numerous features including barcode reader, RFD, Camera, GPS, MSR and long run time battery.",Tablet,LTE with GSM/UMTS,Cat 12,Getac Sales Representative,949-681-2900,GetacSupport_US@getac.com,—,"65W, 100-240VAC, 50 / 60Hz",1920 x 1200,1,Standard/Industrial Micro SIM (3FF),1,"11.1V, 4200mAh",—,—,—,—,Checked,Checked,—,—,Checked,Checked,—,Checked,Checked,Checked,—,—,Checked,—,Checked,—,Checked,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Windows,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,10.82x7.51x0.88 in.,2.68 lbs,-29°C to,-51°C to,"- 95% RH , non-condensing",Checked,—,—,—,—,—,N - no Numbershare,—,—,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz)",,,,,www.getac.com,Getac Service Representative,866-394-3822,GetacSupport_US@getac.com,"Financial Services, Industrial / Manufacturing, Insurance, Oil and Gas, Professional Services, Public Safety, Transportation, Utilities"
27152,TP-Link Corporation Limited,G36W-4G,LTE Router,,,,,,,Omada Pro 4G Cat6 AX3000 Gigabit VPN Router,Router,LTE Only,Cat 6,"10 Mauchly, Irvine, CA 92618",6263152887,derrick.wang@tp-link.com,—,—,—,—,Standard Nano SIM (4FF),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,—,—,—,—,Checked,—,—,Checked,Checked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,N - no Numbershare,—,—,—,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band14 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)",,,,,www.tp-link.com,"10 Mauchly, Irvine, CA 92618",1-866-225-8139,support.usa@tp-link.com,"Agricultural, Construction, Healthcare, Hospitality, Industrial / Manufacturing, Media and Entertainment, Oil and Gas, Real Estate"
